Email,Name,Role,Seat Type
tanaka@example.co.jp,Tanaka,Member,Premium
suzuki@example.co.jp,Suzuki,Member,Premium
sato@example.co.jp,Sato,Member,Premium
watanabe@example.co.jp,Watanabe,Member,Premium
ito@example.co.jp,Ito,Member,Premium
yamamoto@example.co.jp,Yamamoto,Member,Premium
nakamura@example.co.jp,Nakamura,Member,Standard
kobayashi@example.co.jp,Kobayashi,Member,Standard
kato@example.co.jp,Kato,Member,Standard
yoshida@example.co.jp,Yoshida,Member,Standard
yamada@example.co.jp,Yamada,Member,Standard
